Unnamed: 0.1,Unnamed: 0,College/University Name,Type (Engineering / Medical / Arts),Type of Institute,State,City,Address,Approval Year
430,430,OXFORD INTERNATIONAL,Applied Arts and Crafts,Unaided - Private,Madhya Pradesh,INDORE,"SERVE NO. 151/1, 151/4 , JAMBUDI HAPSI, HATOD ROAD",2019-2020
431,431,,Applied Arts and Crafts,,Madhya Pradesh,,,2019-2020
432,432,VIVA INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Unaided - Private,Maharashtra,THANE,"AT:-SHIRGAON, POST:- VIRAR (E)",2019-2020
433,433,BHARATI VIDYAPEETHS COLLEGE OF FINE ARTS,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",2019-2020
434,434,SIR J. J. INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"DR. D. N. ROAD, FORT",2019-2020
435,435,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",2019-2020
436,436,SIR J. J. SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",2019-2020
437,437,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,Applied Arts and Crafts,Unaided - Private,Maharashtra,MUMBAI CITY,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",2019-2020
438,438,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).",Applied Arts and Crafts,Unaided - Private,Maharashtra,SINDHUDURG,"SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",2019-2020
439,439,PADMABHUSHAN VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING,Applied Arts and Crafts,Unaided - Private,Maharashtra,MUMBAI CITY,"VASANTDADA PATIL EDUCATIONAL COMPLEX, EASTERN EXPRESS HIGHWAY, NEAR PRIYADARSHINI BUILDING, SION-CHUNABHATTI, MUMBAI - 400 022",2019-2020
440,440,GOVERNMENT SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,AURANGABAD,"KIL E ARK, ZANANA MAHAL, AURANGABAD.",2019-2020
441,441,SIR J. J. SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",2019-2020
442,442,GOVERNMENT SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,AURANGABAD,"KIL E ARK, ZANANA MAHAL, AURANGABAD.",2019-2020
443,443,FTII,Applied Arts and Crafts,Government,Maharashtra,PUNE,"LAW COLLEGE ROAD, NEAR NAL STOP, PUNE,",2019-2020
444,444,,Applied Arts and Crafts,,Manipur,,,2019-2020
445,445,,Applied Arts and Crafts,,Manipur,,,2019-2020
446,446,,Applied Arts and Crafts,,Meghalaya,,,2019-2020
447,447,,Applied Arts and Crafts,,Meghalaya,,,2019-2020
448,448,,Applied Arts and Crafts,,Mizoram,,,2019-2020
449,449,,Applied Arts and Crafts,,Mizoram,,,2019-2020
450,450,,Applied Arts and Crafts,,Nagaland,,,2019-2020
451,451,,Applied Arts and Crafts,,Nagaland,,,2019-2020
452,452,,Applied Arts and Crafts,,Odisha,,,2019-2020
453,453,,Applied Arts and Crafts,,Odisha,,,2019-2020
454,454,,Applied Arts and Crafts,,Orissa,,,2019-2020
455,455,,Applied Arts and Crafts,,Orissa,,,2019-2020
456,456,BHARATHIAR PALKALAI KOODAM,Applied Arts and Crafts,Government,Puducherry,PUDUCHERRY,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",2019-2020
457,457,,Applied Arts and Crafts,,Puducherry,,,2019-2020
458,458,,Applied Arts and Crafts,,Punjab,,,2019-2020
459,459,,Applied Arts and Crafts,,Punjab,,,2019-2020
460,460,,Applied Arts and Crafts,,Rajasthan,,,2019-2020
461,461,,Applied Arts and Crafts,,Rajasthan,,,2019-2020
462,462,,Applied Arts and Crafts,,Sikkim,,,2019-2020
463,463,,Applied Arts and Crafts,,Sikkim,,,2019-2020
464,464,HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE,Applied Arts and Crafts,Deemed University(Private),Tamil Nadu,KANCHIPURAM,"NO.1, RAJIV GANDHI SALAI(OMR), PADUR(VIA) KELAMBAKKAM, CHENNAI 603103",2019-2020
465,465,GOVERNMENT COLLEGE OF FINE ARTS,Applied Arts and Crafts,Government,Tamil Nadu,CHENNAI,"31,E.V.R.PERIYAR SALAI,PERIYAMET, CHENNAI",2019-2020
466,466,GOVERNMENT COLLEGE OF FINE ARTS,Applied Arts and Crafts,Government,Tamil Nadu,CHENNAI,"31,E.V.R.PERIYAR SALAI,PERIYAMET, CHENNAI",2019-2020
467,467,SRI VENKATESHWARA COLLEGE OF FINE ARTS,Applied Arts and Crafts,Unaided - Private,Telangana,RANGAREDDI,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",2019-2020
468,468,,Applied Arts and Crafts,,Telangana,,,2019-2020
469,469,,Applied Arts and Crafts,,Tripura,,,2019-2020
470,470,,Applied Arts and Crafts,,Tripura,,,2019-2020
471,471,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,MEERUT,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",2019-2020
472,472,FMG (ACADEMY) GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,G B NAGAR,PLOT NO-8 KNOWLEDGE PARK 3,2019-2020
473,473,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2019-2020
474,474,KANPUR INSTITUTE OF TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,KANPUR NAGAR,A-1 UPSIDC INDUSTRIAL AREA ROOMA,2019-2020
475,475,,Applied Arts and Crafts,,Uttar Pradesh,,,2019-2020
476,476,,Applied Arts and Crafts,,Uttarakhand,,,2019-2020
477,477,,Applied Arts and Crafts,,Uttarakhand,,,2019-2020
478,478,,Applied Arts and Crafts,,West Bengal,,,2019-2020
479,479,,Applied Arts and Crafts,,West Bengal,,,2019-2020
480,480,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2020-2021
481,481,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2020-2021
482,482,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Applied Arts and Crafts,Deemed to be University(Pvt),Andhra Pradesh,GUNTUR,"GREEN FIELDS, VADDESWARAM.",2020-2021
483,483,,Applied Arts and Crafts,,Andhra Pradesh,,,2020-2021
484,484,,Applied Arts and Crafts,,Arunachal Pradesh,,,2020-2021
485,485,,Applied Arts and Crafts,,Arunachal Pradesh,,,2020-2021
486,486,,Applied Arts and Crafts,,Assam,,,2020-2021
487,487,,Applied Arts and Crafts,,Assam,,,2020-2021
488,488,,Applied Arts and Crafts,,Bihar,,,2020-2021
489,489,,Applied Arts and Crafts,,Bihar,,,2020-2021
490,490,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2020-2021
491,491,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2020-2021
492,492,,Applied Arts and Crafts,,Chhattisgarh,,,2020-2021
493,493,,Applied Arts and Crafts,,Chhattisgarh,,,2020-2021
494,494,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2020-2021
495,495,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2020-2021
496,496,,Applied Arts and Crafts,,Daman and Diu,,,2020-2021
497,497,,Applied Arts and Crafts,,Daman and Diu,,,2020-2021
498,498,,Applied Arts and Crafts,,Delhi,,,2020-2021
499,499,,Applied Arts and Crafts,,Delhi,,,2020-2021
500,500,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2020-2021
501,501,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2020-2021
502,502,,Applied Arts and Crafts,,Gujarat,,,2020-2021
503,503,,Applied Arts and Crafts,,Gujarat,,,2020-2021
504,504,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Applied Arts and Crafts,Private-Self Financing,Haryana,AMBALA,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",2020-2021
505,505,,Applied Arts and Crafts,,Haryana,,,2020-2021
506,506,,Applied Arts and Crafts,,Himachal Pradesh,,,2020-2021
507,507,,Applied Arts and Crafts,,Himachal Pradesh,,,2020-2021
508,508,,Applied Arts and Crafts,,Jammu and Kashmir,,,2020-2021
509,509,,Applied Arts and Crafts,,Jammu and Kashmir,,,2020-2021
510,510,,Applied Arts and Crafts,,Jharkhand,,,2020-2021
511,511,,Applied Arts and Crafts,,Jharkhand,,,2020-2021
512,512,,Applied Arts and Crafts,,Karnataka,,,2020-2021
513,513,,Applied Arts and Crafts,,Karnataka,,,2020-2021
514,514,COLLEGE OF ARCHITECTURE TRIVANDRUM,Applied Arts and Crafts,Private-Self Financing,Kerala,THIRUVANANTHAPURAM,"THINAVILA,MULAYARA-P.O.,VIA-VELLANAD",2020-2021
515,515,,Applied Arts and Crafts,,Kerala,,,2020-2021
516,516,OXFORD INTERNATIONAL,Applied Arts and Crafts,Private-Self Financing,Madhya Pradesh,INDORE,"SERVE NO. 151/1, 151/4 , JAMBUDI HAPSI, HATOD ROAD",2020-2021
517,517,,Applied Arts and Crafts,,Madhya Pradesh,,,2020-2021
518,518,GOVERNMENT SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,AURANGABAD,"KIL E ARK, ZANANA MAHAL, AURANGABAD.",2020-2021
519,519,SIR J. J. SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",2020-2021
520,520,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,Applied Arts and Crafts,Private-Self Financing,Maharashtra,PUNE,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",2020-2021
521,521,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,Applied Arts and Crafts,Private-Self Financing,Maharashtra,MUMBAI CITY,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",2020-2021
522,522,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).",Applied Arts and Crafts,Private-Self Financing,Maharashtra,SINDHUDURG,"SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",2020-2021
523,523,VIVA INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Private-Self Financing,Maharashtra,THANE,"AT:-SHIRGAON, POST:- VIRAR (E)",2020-2021
524,524,VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING AND VISUAL ARTS,Applied Arts and Crafts,Private-Self Financing,Maharashtra,MUMBAI CITY,"VASANTDADA PATIL EDUCATIONAL COMPLEX, EASTERN EXPRESS HIGHWAY, NEAR PRIYADARSHINI BUILDING, SION-CHUNABHATTI, MUMBAI - 400 022",2020-2021
525,525,SIR J. J. INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"DR. D. N. ROAD, FORT",2020-2021
526,526,BHARATI VIDYAPEETHS COLLEGE OF FINE ARTS,Applied Arts and Crafts,Private-Self Financing,Maharashtra,PUNE,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",2020-2021
527,527,FTII,Applied Arts and Crafts,Government,Maharashtra,PUNE,"LAW COLLEGE ROAD, NEAR NAL STOP, PUNE,",2020-2021
528,528,GOVERNMENT SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,AURANGABAD,"KIL E ARK, ZANANA MAHAL, AURANGABAD.",2020-2021
529,529,SIR J. J. SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",2020-2021
530,530,,Applied Arts and Crafts,,Manipur,,,2020-2021
531,531,,Applied Arts and Crafts,,Manipur,,,2020-2021
532,532,,Applied Arts and Crafts,,Meghalaya,,,2020-2021
533,533,,Applied Arts and Crafts,,Meghalaya,,,2020-2021
534,534,,Applied Arts and Crafts,,Mizoram,,,2020-2021
535,535,,Applied Arts and Crafts,,Mizoram,,,2020-2021
536,536,,Applied Arts and Crafts,,Nagaland,,,2020-2021
537,537,,Applied Arts and Crafts,,Nagaland,,,2020-2021
538,538,,Applied Arts and Crafts,,Odisha,,,2020-2021
539,539,,Applied Arts and Crafts,,Odisha,,,2020-2021
540,540,,Applied Arts and Crafts,,Orissa,,,2020-2021
541,541,,Applied Arts and Crafts,,Orissa,,,2020-2021
542,542,BHARATHIAR PALKALAI KOODAM,Applied Arts and Crafts,Government,Puducherry,PUDUCHERRY,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",2020-2021
543,543,,Applied Arts and Crafts,,Puducherry,,,2020-2021
544,544,,Applied Arts and Crafts,,Punjab,,,2020-2021
545,545,,Applied Arts and Crafts,,Punjab,,,2020-2021
546,546,,Applied Arts and Crafts,,Rajasthan,,,2020-2021
547,547,,Applied Arts and Crafts,,Rajasthan,,,2020-2021
548,548,,Applied Arts and Crafts,,Sikkim,,,2020-2021
549,549,,Applied Arts and Crafts,,Sikkim,,,2020-2021
550,550,HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE,Applied Arts and Crafts,Deemed to be University(Pvt),Tamil Nadu,KANCHIPURAM,"NO.1, RAJIV GANDHI SALAI(OMR), PADUR(VIA) KELAMBAKKAM, CHENNAI 603103",2020-2021
551,551,,Applied Arts and Crafts,,Tamil Nadu,,,2020-2021
552,552,SRI VENKATESHWARA COLLEGE OF FINE ARTS,Applied Arts and Crafts,Private-Self Financing,Telangana,RANGAREDDI,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",2020-2021
553,553,,Applied Arts and Crafts,,Telangana,,,2020-2021
554,554,,Applied Arts and Crafts,,Tripura,,,2020-2021
555,555,,Applied Arts and Crafts,,Tripura,,,2020-2021
556,556,KANPUR INSTITUTE OF TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,A-1 UPSIDC INDUSTRIAL AREA ROOMA,2020-2021
557,557,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2020-2021
558,558,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,MEERUT,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",2020-2021
559,559,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2020-2021
560,560,,Applied Arts and Crafts,,Uttarakhand,,,2020-2021
561,561,,Applied Arts and Crafts,,Uttarakhand,,,2020-2021
562,562,,Applied Arts and Crafts,,West Bengal,,,2020-2021
563,563,,Applied Arts and Crafts,,West Bengal,,,2020-2021
564,564,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2021-2022
565,565,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2021-2022
566,566,,Applied Arts and Crafts,,Andhra Pradesh,,,2021-2022
567,567,,Applied Arts and Crafts,,Andhra Pradesh,,,2021-2022
568,568,,Applied Arts and Crafts,,Arunachal Pradesh,,,2021-2022
569,569,,Applied Arts and Crafts,,Arunachal Pradesh,,,2021-2022
570,570,,Applied Arts and Crafts,,Assam,,,2021-2022
571,571,,Applied Arts and Crafts,,Assam,,,2021-2022
572,572,,Applied Arts and Crafts,,Bihar,,,2021-2022
573,573,,Applied Arts and Crafts,,Bihar,,,2021-2022
574,574,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2021-2022
575,575,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2021-2022
576,576,,Applied Arts and Crafts,,Chhattisgarh,,,2021-2022
577,577,,Applied Arts and Crafts,,Chhattisgarh,,,2021-2022
578,578,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2021-2022
579,579,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2021-2022
580,580,,Applied Arts and Crafts,,Daman and Diu,,,2021-2022
581,581,,Applied Arts and Crafts,,Daman and Diu,,,2021-2022
582,582,,Applied Arts and Crafts,,Delhi,,,2021-2022
583,583,,Applied Arts and Crafts,,Delhi,,,2021-2022
584,584,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2021-2022
585,585,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2021-2022
586,586,,Applied Arts and Crafts,,Gujarat,,,2021-2022
587,587,,Applied Arts and Crafts,,Gujarat,,,2021-2022
588,588,PANIPAT INSTITUTE OF ENGINEERING & TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Haryana,PANIPAT,"70KM MILESTONE, NH-1, VILLAGE PATTIKALYANA, SAMALKHA",2021-2022
589,589,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Applied Arts and Crafts,Private-Self Financing,Haryana,AMBALA,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",2021-2022
590,590,,Applied Arts and Crafts,,Haryana,,,2021-2022
591,591,,Applied Arts and Crafts,,Himachal Pradesh,,,2021-2022
592,592,,Applied Arts and Crafts,,Himachal Pradesh,,,2021-2022
593,593,,Applied Arts and Crafts,,Jammu and Kashmir,,,2021-2022
594,594,,Applied Arts and Crafts,,Jammu and Kashmir,,,2021-2022
595,595,,Applied Arts and Crafts,,Jharkhand,,,2021-2022
596,596,,Applied Arts and Crafts,,Jharkhand,,,2021-2022
597,597,,Applied Arts and Crafts,,Karnataka,,,2021-2022
598,598,,Applied Arts and Crafts,,Karnataka,,,2021-2022
599,599,COLLEGE OF ARCHITECTURE TRIVANDRUM,Applied Arts and Crafts,Private-Self Financing,Kerala,THIRUVANANTHAPURAM,"THINAVILA,MULAYARA-P.O.,VIA-VELLANAD",2021-2022
600,600,,Applied Arts and Crafts,,Kerala,,,2021-2022
601,601,,Applied Arts and Crafts,,Madhya Pradesh,,,2021-2022
602,602,,Applied Arts and Crafts,,Madhya Pradesh,,,2021-2022
603,603,VIVA INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Private-Self Financing,Maharashtra,THANE,"AT:-SHIRGAON, POST:- VIRAR (E)",2021-2022
604,604,VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING AND VISUAL ARTS,Applied Arts and Crafts,Private-Self Financing,Maharashtra,MUMBAI CITY,"VASANTDADA PATIL EDUCATIONAL COMPLEX, EASTERN EXPRESS HIGHWAY, NEAR PRIYADARSHINI BUILDING, SION-CHUNABHATTI, MUMBAI - 400 022",2021-2022
605,605,SIR J. J. INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"DR. D. N. ROAD, FORT",2021-2022
606,606,BHARATI VIDYAPEETHS COLLEGE OF FINE ARTS,Applied Arts and Crafts,Private-Self Financing,Maharashtra,PUNE,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",2021-2022
607,607,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).",Applied Arts and Crafts,Private-Self Financing,Maharashtra,SINDHUDURG,"SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",2021-2022
608,608,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,Applied Arts and Crafts,Private-Self Financing,Maharashtra,PUNE,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",2021-2022
609,609,GOVERNMENT SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,AURANGABAD,"KIL E ARK, ZANANA MAHAL, AURANGABAD.",2021-2022
610,610,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,Applied Arts and Crafts,Private-Self Financing,Maharashtra,MUMBAI CITY,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",2021-2022
611,611,SIR J. J. SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",2021-2022
612,612,GOVERNMENT SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,AURANGABAD,"KIL E ARK, ZANANA MAHAL, AURANGABAD.",2021-2022
613,613,SIR J. J. SCHOOL OF ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",2021-2022
614,614,FTII,Applied Arts and Crafts,Government,Maharashtra,PUNE,"LAW COLLEGE ROAD, NEAR NAL STOP, PUNE,",2021-2022
615,615,,Applied Arts and Crafts,,Manipur,,,2021-2022
616,616,,Applied Arts and Crafts,,Manipur,,,2021-2022
617,617,,Applied Arts and Crafts,,Meghalaya,,,2021-2022
618,618,,Applied Arts and Crafts,,Meghalaya,,,2021-2022
619,619,,Applied Arts and Crafts,,Mizoram,,,2021-2022
620,620,,Applied Arts and Crafts,,Mizoram,,,2021-2022
621,621,,Applied Arts and Crafts,,Nagaland,,,2021-2022
622,622,,Applied Arts and Crafts,,Nagaland,,,2021-2022
623,623,BIJU PATTANAIK FILM & TELEVISION INSTITUTE OF ORISSA,Applied Arts and Crafts,Government,Odisha,CUTTACK,"MEDICAL ROAD BOSE CAMPUS, CUTTACK ORISSA-753007",2021-2022
624,624,,Applied Arts and Crafts,,Odisha,,,2021-2022
625,625,,Applied Arts and Crafts,,Orissa,,,2021-2022
626,626,,Applied Arts and Crafts,,Orissa,,,2021-2022
627,627,BHARATHIAR PALKALAI KOODAM,Applied Arts and Crafts,Government,Puducherry,PUDUCHERRY,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",2021-2022
628,628,,Applied Arts and Crafts,,Puducherry,,,2021-2022
629,629,,Applied Arts and Crafts,,Punjab,,,2021-2022
630,630,,Applied Arts and Crafts,,Punjab,,,2021-2022
631,631,MANIPAL UNIVERSITY JAIPUR,Applied Arts and Crafts,Private-Self Financing,Rajasthan,JAIPUR,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",2021-2022
632,632,MANIPAL UNIVERSITY JAIPUR,Applied Arts and Crafts,Private-Self Financing,Rajasthan,JAIPUR,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",2021-2022
633,633,,Applied Arts and Crafts,,Sikkim,,,2021-2022
634,634,,Applied Arts and Crafts,,Sikkim,,,2021-2022
635,635,,Applied Arts and Crafts,,Tamil Nadu,,,2021-2022
636,636,,Applied Arts and Crafts,,Tamil Nadu,,,2021-2022
637,637,SRI VENKATESHWARA COLLEGE OF FINE ARTS,Applied Arts and Crafts,Private-Self Financing,Telangana,RANGAREDDI,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",2021-2022
638,638,AURORA'S FILM AND TELEVISION INSTITUTE,Applied Arts and Crafts,Private-Self Financing,Telangana,HYDERABAD,"CHIKKADPALLY, HYDERABAD",2021-2022
639,639,AURORA'S SCHOOL OF FASHION DESIGN,Applied Arts and Crafts,Private-Self Financing,Telangana,HYDERABAD,"NAMPALLY, HYDERABAD",2021-2022
640,640,AURORA'S SCHOOL OF ART AND DESIGN,Applied Arts and Crafts,Private-Self Financing,Telangana,HYDERABAD,"BANDLAGUDA, HYDERABAD",2021-2022
641,641,,Applied Arts and Crafts,,Telangana,,,2021-2022
642,642,,Applied Arts and Crafts,,Tripura,,,2021-2022
643,643,,Applied Arts and Crafts,,Tripura,,,2021-2022
644,644,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2021-2022
645,645,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,MEERUT,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",2021-2022
646,646,KANPUR INSTITUTE OF TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,A-1 UPSIDC INDUSTRIAL AREA ROOMA,2021-2022
647,647,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2021-2022
648,648,,Applied Arts and Crafts,,Uttarakhand,,,2021-2022
649,649,,Applied Arts and Crafts,,Uttarakhand,,,2021-2022
650,650,,Applied Arts and Crafts,,West Bengal,,,2021-2022
651,651,,Applied Arts and Crafts,,West Bengal,,,2021-2022
652,652,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2022-2023
653,653,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2022-2023
654,654,,Applied Arts and Crafts,,Andhra Pradesh,,,2022-2023
655,655,,Applied Arts and Crafts,,Andhra Pradesh,,,2022-2023
656,656,,Applied Arts and Crafts,,Arunachal Pradesh,,,2022-2023
657,657,,Applied Arts and Crafts,,Arunachal Pradesh,,,2022-2023
658,658,,Applied Arts and Crafts,,Assam,,,2022-2023
659,659,,Applied Arts and Crafts,,Assam,,,2022-2023
660,660,,Applied Arts and Crafts,,Bihar,,,2022-2023
661,661,,Applied Arts and Crafts,,Bihar,,,2022-2023
662,662,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2022-2023
663,663,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2022-2023
664,664,,Applied Arts and Crafts,,Chhattisgarh,,,2022-2023
665,665,,Applied Arts and Crafts,,Chhattisgarh,,,2022-2023
666,666,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2022-2023
667,667,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2022-2023
668,668,,Applied Arts and Crafts,,Daman and Diu,,,2022-2023
669,669,,Applied Arts and Crafts,,Daman and Diu,,,2022-2023
670,670,,Applied Arts and Crafts,,Delhi,,,2022-2023
671,671,,Applied Arts and Crafts,,Delhi,,,2022-2023
