Year,State,Program,Level,College/University Name,Type,Affiliated University,State,City,Courses Offered,Intake Capacity,Accreditation,Approval Year
2015-2016,Andaman and Nicobar Islands,Applied Arts and Crafts,UG,No data available in table
2015-2016,Andaman and Nicobar Islands,Applied Arts and Crafts,PG,No data available in table
2015-2016,Andhra Pradesh,Applied Arts and Crafts,UG,No data available in table
2015-2016,Andhra Pradesh,Applied Arts and Crafts,PG,No data available in table
2015-2016,Arunachal Pradesh,Applied Arts and Crafts,UG,No data available in table
2015-2016,Arunachal Pradesh,Applied Arts and Crafts,PG,No data available in table
2015-2016,Assam,Applied Arts and Crafts,UG,No data available in table
2015-2016,Assam,Applied Arts and Crafts,PG,No data available in table
2015-2016,Bihar,Applied Arts and Crafts,UG,No data available in table
2015-2016,Bihar,Applied Arts and Crafts,PG,No data available in table
2015-2016,Chandigarh,Applied Arts and Crafts,UG,1-2454482359,GOVERNMENT COLLEGE OF ART,SECTOR 10C,CHANDIGARH,Government,N,N,Click Here,NA
2015-2016,Chandigarh,Applied Arts and Crafts,PG,1-2454482359,GOVERNMENT COLLEGE OF ART,SECTOR 10C,CHANDIGARH,Government,N,N,Click Here,NA
2015-2016,Chhattisgarh,Applied Arts and Crafts,UG,No data available in table
2015-2016,Chhattisgarh,Applied Arts and Crafts,PG,No data available in table
2015-2016,Dadra and Nagar Haveli,Applied Arts and Crafts,UG,No data available in table
2015-2016,Dadra and Nagar Haveli,Applied Arts and Crafts,PG,No data available in table
2015-2016,Daman and Diu,Applied Arts and Crafts,UG,No data available in table
2015-2016,Daman and Diu,Applied Arts and Crafts,PG,No data available in table
2015-2016,Delhi,Applied Arts and Crafts,UG,1-2455866275,COLLEGE OF ART,20-22 TILAK MARG,EAST DELHI,Government,N,N,Click Here,NA
2015-2016,Delhi,Applied Arts and Crafts,PG,No data available in table
2015-2016,Goa,Applied Arts and Crafts,UG,1-2452418313,GOA COLLEGE OF ART,"ALTINHO, PANAJI - GOA 403 001",NORTH GOA,Government,N,N,Click Here,NA
2015-2016,Goa,Applied Arts and Crafts,PG,No data available in table
2015-2016,Gujarat,Applied Arts and Crafts,UG,No data available in table
2015-2016,Gujarat,Applied Arts and Crafts,PG,No data available in table
2015-2016,Haryana,Applied Arts and Crafts,UG,1-2454649588,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",AMBALA,Unaided - Private,N,N,Click Here,NA
2015-2016,Haryana,Applied Arts and Crafts,PG,No data available in table
2015-2016,Himachal Pradesh,Applied Arts and Crafts,UG,No data available in table
2015-2016,Himachal Pradesh,Applied Arts and Crafts,PG,No data available in table
2015-2016,Jammu and Kashmir,Applied Arts and Crafts,UG,No data available in table
2015-2016,Jammu and Kashmir,Applied Arts and Crafts,PG,No data available in table
2015-2016,Jharkhand,Applied Arts and Crafts,UG,No data available in table
2015-2016,Jharkhand,Applied Arts and Crafts,PG,No data available in table
2015-2016,Karnataka,Applied Arts and Crafts,UG,No data available in table
2015-2016,Karnataka,Applied Arts and Crafts,PG,No data available in table
2015-2016,Kerala,Applied Arts and Crafts,UG,No data available in table
2015-2016,Kerala,Applied Arts and Crafts,PG,No data available in table
2015-2016,Madhya Pradesh,Applied Arts and Crafts,UG,No data available in table
2015-2016,Madhya Pradesh,Applied Arts and Crafts,PG,No data available in table
2015-2016,Maharashtra,Applied Arts and Crafts,UG,1-2451247837,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",MUMBAI CITY,Unaided - Private,N,N,Click Here,NA
2015-2016,Maharashtra,Applied Arts and Crafts,UG,1-2451270767,VIVA INSTITUTE OF APPLIED ART,"AT:-SHIRGAON, POST:- VIRAR (E)",THANE,Unaided - Private,N,N,Click Here,NA
2015-2016,Maharashtra,Applied Arts and Crafts,UG,1-2451342556,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",PUNE,Unaided - Private,N,N,Click Here,NA
2015-2016,Maharashtra,Applied Arts and Crafts,UG,1-2452206430,BHARATI KALA MAHAVIDYALAYA,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",PUNE,Unaided - Private,N,N,Click Here,NA
2015-2016,Maharashtra,Applied Arts and Crafts,UG,1-2452228519,SIR J. J. INSTITUTE OF APPLIED ART,"DR. D. N. ROAD, FORT",MUMBAI CITY,Government,N,N,Click Here,NA
2015-2016,Maharashtra,Applied Arts and Crafts,UG,1-2453981577,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).","SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",SINDHUDURG,Unaided - Private,N,N,Click Here,NA
2015-2016,Maharashtra,Applied Arts and Crafts,PG,No data available in table
2015-2016,Manipur,Applied Arts and Crafts,UG,No data available in table
2015-2016,Manipur,Applied Arts and Crafts,PG,No data available in table
2015-2016,Meghalaya,Applied Arts and Crafts,UG,No data available in table
2015-2016,Meghalaya,Applied Arts and Crafts,PG,No data available in table
2015-2016,Mizoram,Applied Arts and Crafts,UG,No data available in table
2015-2016,Mizoram,Applied Arts and Crafts,PG,No data available in table
2015-2016,Nagaland,Applied Arts and Crafts,UG,No data available in table
2015-2016,Nagaland,Applied Arts and Crafts,PG,No data available in table
2015-2016,Odisha,Applied Arts and Crafts,UG,No data available in table
2015-2016,Odisha,Applied Arts and Crafts,PG,No data available in table
2015-2016,Orissa,Applied Arts and Crafts,UG,No data available in table
2015-2016,Orissa,Applied Arts and Crafts,PG,No data available in table
2015-2016,Puducherry,Applied Arts and Crafts,UG,1-2451529934,BHARATHIAR PALKALAI KOODAM,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",PUDUCHERRY,Government,N,N,Click Here,NA
2015-2016,Puducherry,Applied Arts and Crafts,PG,No data available in table
2015-2016,Punjab,Applied Arts and Crafts,UG,No data available in table
2015-2016,Punjab,Applied Arts and Crafts,PG,No data available in table
2015-2016,Rajasthan,Applied Arts and Crafts,UG,No data available in table
2015-2016,Rajasthan,Applied Arts and Crafts,PG,No data available in table
2015-2016,Sikkim,Applied Arts and Crafts,UG,No data available in table
2015-2016,Sikkim,Applied Arts and Crafts,PG,No data available in table
2015-2016,Tamil Nadu,Applied Arts and Crafts,UG,No data available in table
2015-2016,Tamil Nadu,Applied Arts and Crafts,PG,No data available in table
2015-2016,Telangana,Applied Arts and Crafts,UG,No data available in table
2015-2016,Telangana,Applied Arts and Crafts,PG,No data available in table
2015-2016,Tripura,Applied Arts and Crafts,UG,No data available in table
2015-2016,Tripura,Applied Arts and Crafts,PG,No data available in table
2015-2016,Uttar Pradesh,Applied Arts and Crafts,UG,No data available in table
2015-2016,Uttar Pradesh,Applied Arts and Crafts,PG,No data available in table
2015-2016,Uttarakhand,Applied Arts and Crafts,UG,No data available in table
2015-2016,Uttarakhand,Applied Arts and Crafts,PG,No data available in table
2015-2016,West Bengal,Applied Arts and Crafts,UG,No data available in table
2015-2016,West Bengal,Applied Arts and Crafts,PG,No data available in table
2016-2017,Andaman and Nicobar Islands,Applied Arts and Crafts,UG,No data available in table
2016-2017,Andaman and Nicobar Islands,Applied Arts and Crafts,PG,No data available in table
2016-2017,Andhra Pradesh,Applied Arts and Crafts,UG,No data available in table
